ano_base,Fase_num,tipo_alerta,qtd
2022,0,GAP_SUBESTIMA,32
2022,0,GAP_SUPERESTIMA,34
2022,0,RISCO_SILENCIOSO,14
2022,0,SEM_ALERTA,110
2022,1,GAP_SUBESTIMA,44
2022,1,GAP_SUPERESTIMA,22
2022,1,RISCO_SILENCIOSO,41
2022,1,SEM_ALERTA,85
2022,2,GAP_SUBESTIMA,24
2022,2,GAP_SUPERESTIMA,41
2022,2,RISCO_SILENCIOSO,38
2022,2,SEM_ALERTA,52
2022,3,GAP_SUBESTIMA,18
2022,3,GAP_SUPERESTIMA,41
2022,3,RISCO_SILENCIOSO,15
2022,3,SEM_ALERTA,74
2022,4,GAP_SUBESTIMA,18
2022,4,GAP_SUPERESTIMA,8
2022,4,RISCO_SILENCIOSO,5
2022,4,SEM_ALERTA,45
2022,5,GAP_SUBESTIMA,18
2022,5,GAP_SUPERESTIMA,10
2022,5,RISCO_SILENCIOSO,4
2022,5,SEM_ALERTA,28
2022,6,GAP_SUBESTIMA,5
2022,6,GAP_SUPERESTIMA,2
2022,6,SEM_ALERTA,11
2022,7,GAP_SUBESTIMA,4
2022,7,GAP_SUPERESTIMA,2
2022,7,RISCO_SILENCIOSO,1
2022,7,SEM_ALERTA,14
2023,1,GAP_SUBESTIMA,53
2023,1,GAP_SUPERESTIMA,18
2023,1,RISCO_SILENCIOSO,34
2023,1,SEM_ALERTA,68
2023,2,GAP_SUBESTIMA,61
2023,2,GAP_SUPERESTIMA,12
2023,2,RISCO_SILENCIOSO,53
2023,2,SEM_ALERTA,73
2023,3,GAP_SUBESTIMA,26
2023,3,GAP_SUPERESTIMA,22
2023,3,RISCO_SILENCIOSO,34
2023,3,SEM_ALERTA,50
2023,4,GAP_SUBESTIMA,17
2023,4,GAP_SUPERESTIMA,13
2023,4,RISCO_SILENCIOSO,27
2023,4,SEM_ALERTA,37
2023,5,GAP_SUBESTIMA,15
2023,5,GAP_SUPERESTIMA,7
2023,5,RISCO_SILENCIOSO,20
2023,5,SEM_ALERTA,23
2023,6,GAP_SUBESTIMA,14
2023,6,GAP_SUPERESTIMA,1
2023,6,RISCO_SILENCIOSO,4
2023,6,SEM_ALERTA,14
2023,7,GAP_SUBESTIMA,6
2023,7,SEM_ALERTA,4
2023,,GAP_SUBESTIMA,63
2023,,GAP_SUPERESTIMA,20
2023,,RISCO_SILENCIOSO,30
2023,,SEM_ALERTA,118
2024,1,GAP_SUBESTIMA,40
2024,1,GAP_SUPERESTIMA,24
2024,1,RISCO_SILENCIOSO,26
2024,1,SEM_ALERTA,95
2024,2,GAP_SUBESTIMA,50
2024,2,GAP_SUPERESTIMA,28
2024,2,RISCO_SILENCIOSO,21
2024,2,SEM_ALERTA,86
2024,3,GAP_SUBESTIMA,17
2024,3,GAP_SUPERESTIMA,55
2024,3,RISCO_SILENCIOSO,32
2024,3,SEM_ALERTA,107
2024,4,GAP_SUBESTIMA,21
2024,4,GAP_SUPERESTIMA,20
2024,4,RISCO_SILENCIOSO,17
2024,4,SEM_ALERTA,57
2024,5,GAP_SUBESTIMA,21
2024,5,GAP_SUPERESTIMA,12
2024,5,RISCO_SILENCIOSO,14
2024,5,SEM_ALERTA,53
2024,6,GAP_SUBESTIMA,8
2024,6,GAP_SUPERESTIMA,1
2024,6,RISCO_SILENCIOSO,2
2024,6,SEM_ALERTA,14
2024,7,GAP_SUBESTIMA,5
2024,7,GAP_SUPERESTIMA,6
2024,7,RISCO_SILENCIOSO,5
2024,7,SEM_ALERTA,21
2024,,GAP_SUBESTIMA,40
2024,,GAP_SUPERESTIMA,20
2024,,RISCO_SILENCIOSO,27
2024,,SEM_ALERTA,109
