ano_base,Fase_num,quadrante,qtd
2022,0,IAA_alto x IDA_alto,94
2022,0,IAA_alto x IDA_baixo,44
2022,0,IAA_baixo x IDA_alto,32
2022,0,IAA_baixo x IDA_baixo,20
2022,1,IAA_alto x IDA_alto,61
2022,1,IAA_alto x IDA_baixo,46
2022,1,IAA_baixo x IDA_alto,44
2022,1,IAA_baixo x IDA_baixo,41
2022,2,IAA_alto x IDA_alto,23
2022,2,IAA_alto x IDA_baixo,63
2022,2,IAA_baixo x IDA_alto,24
2022,2,IAA_baixo x IDA_baixo,45
2022,3,IAA_alto x IDA_alto,18
2022,3,IAA_alto x IDA_baixo,51
2022,3,IAA_baixo x IDA_alto,18
2022,3,IAA_baixo x IDA_baixo,61
2022,4,IAA_alto x IDA_alto,12
2022,4,IAA_alto x IDA_baixo,9
2022,4,IAA_baixo x IDA_alto,18
2022,4,IAA_baixo x IDA_baixo,37
2022,5,IAA_alto x IDA_alto,11
2022,5,IAA_alto x IDA_baixo,12
2022,5,IAA_baixo x IDA_alto,18
2022,5,IAA_baixo x IDA_baixo,19
2022,6,IAA_alto x IDA_alto,7
2022,6,IAA_alto x IDA_baixo,2
2022,6,IAA_baixo x IDA_alto,5
2022,6,IAA_baixo x IDA_baixo,4
2022,7,IAA_alto x IDA_alto,4
2022,7,IAA_alto x IDA_baixo,3
2022,7,IAA_baixo x IDA_alto,4
2022,7,IAA_baixo x IDA_baixo,10
2023,1,IAA_alto x IDA_alto,43
2023,1,IAA_alto x IDA_baixo,35
2023,1,IAA_baixo x IDA_alto,53
2023,1,IAA_baixo x IDA_baixo,42
2023,2,IAA_alto x IDA_alto,44
2023,2,IAA_alto x IDA_baixo,35
2023,2,IAA_baixo x IDA_alto,61
2023,2,IAA_baixo x IDA_baixo,59
2023,3,IAA_alto x IDA_alto,16
2023,3,IAA_alto x IDA_baixo,41
2023,3,IAA_baixo x IDA_alto,26
2023,3,IAA_baixo x IDA_baixo,49
2023,4,IAA_alto x IDA_alto,15
2023,4,IAA_alto x IDA_baixo,24
2023,4,IAA_baixo x IDA_alto,17
2023,4,IAA_baixo x IDA_baixo,38
2023,5,IAA_alto x IDA_alto,5
2023,5,IAA_alto x IDA_baixo,16
2023,5,IAA_baixo x IDA_alto,15
2023,5,IAA_baixo x IDA_baixo,29
2023,6,IAA_alto x IDA_alto,6
2023,6,IAA_alto x IDA_baixo,2
2023,6,IAA_baixo x IDA_alto,14
2023,6,IAA_baixo x IDA_baixo,11
2023,7,IAA_alto x IDA_alto,4
2023,7,IAA_baixo x IDA_alto,6
2024,1,IAA_alto x IDA_alto,78
2024,1,IAA_alto x IDA_baixo,43
2024,1,IAA_baixo x IDA_alto,40
2024,1,IAA_baixo x IDA_baixo,24
2024,2,IAA_alto x IDA_alto,36
2024,2,IAA_alto x IDA_baixo,35
2024,2,IAA_baixo x IDA_alto,50
2024,2,IAA_baixo x IDA_baixo,64
2024,3,IAA_alto x IDA_alto,49
2024,3,IAA_alto x IDA_baixo,76
2024,3,IAA_baixo x IDA_alto,17
2024,3,IAA_baixo x IDA_baixo,69
2024,4,IAA_alto x IDA_alto,27
2024,4,IAA_alto x IDA_baixo,27
2024,4,IAA_baixo x IDA_alto,21
2024,4,IAA_baixo x IDA_baixo,40
2024,5,IAA_alto x IDA_alto,31
2024,5,IAA_alto x IDA_baixo,19
2024,5,IAA_baixo x IDA_alto,21
2024,5,IAA_baixo x IDA_baixo,29
2024,6,IAA_alto x IDA_alto,11
2024,6,IAA_alto x IDA_baixo,3
2024,6,IAA_baixo x IDA_alto,8
2024,6,IAA_baixo x IDA_baixo,3
2024,7,IAA_alto x IDA_alto,18
2024,7,IAA_alto x IDA_baixo,8
2024,7,IAA_baixo x IDA_alto,5
2024,7,IAA_baixo x IDA_baixo,6
